Experiment:;data_1429808090229;User:;8bf131fc-7770-43a3-81ac-fa27cef2423e
;;;
TIME;MESSAGE;URL;VALUE
2349;ready;;
2365;loaded;front;
6769;joinLobby;;
6771;ready;;Lobby
6818;loaded;wait;
8022;ready;;Room 0
8038;loaded;instructions;
14859;next;;
14884;loaded;prequestionnarie;
26547;next;;Form data
26567;loaded;wait;
26572;loaded;auction;
50239;next;;
50258;loaded;wait;
51616;loaded;auction;
73866;next;;
73883;loaded;postquestionnarie;
97188;next;;Form data
97207;loaded;payment;
102936;next;;Form data
102953;loaded;thanks;
102955;fin;;
36521;Hidden;;
43055;Visible;;
45878;Hidden;;
47482;Visible;;
68343;Hidden;;
71648;Visible;;
